[2023-08-30 11:15:13,685] base_page.py->send_keys line:41 [INFO] Setting value for element: ('xpath', '//*[@id="desc"]')
[2023-08-30 11:15:13,685] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="desc"]')
[2023-08-30 11:15:13,726] base_page.py->clear line:46 [INFO] Clearing input for element: ('xpath', '//*[@id="sort"]')
[2023-08-30 11:15:13,726] base_page.py->element_wait line:31 [INFO] Waiting for element: ('xpath', '//*[@id="sort"]')
[2023-08-30 11:15:13,735] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="sort"]')
[2023-08-30 11:15:13,767] base_page.py->send_keys line:41 [INFO] Setting value for element: ('xpath', '//*[@id="sort"]')
[2023-08-30 11:15:13,767] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="sort"]')
[2023-08-30 11:15:14,813] base_page.py->click line:64 [INFO] Clicking element: ('xpath', '/html/body/form/div[1]/div/div/div[6]/div/div/em')
[2023-08-30 11:15:14,813] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '/html/body/form/div[1]/div/div/div[6]/div/div/em')
[2023-08-30 11:15:14,911] base_page.py->clear line:46 [INFO] Clearing input for element: ('xpath', '//*[@id="price"]')
[2023-08-30 11:15:14,911] base_page.py->element_wait line:31 [INFO] Waiting for element: ('xpath', '//*[@id="price"]')
[2023-08-30 11:15:14,920] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="price"]')
[2023-08-30 11:15:14,946] base_page.py->send_keys line:41 [INFO] Setting value for element: ('xpath', '//*[@id="price"]')
[2023-08-30 11:15:14,946] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="price"]')
[2023-08-30 11:15:14,984] base_page.py->clear line:46 [INFO] Clearing input for element: ('xpath', '//*[@id="vip_price"]')
[2023-08-30 11:15:14,984] base_page.py->element_wait line:31 [INFO] Waiting for element: ('xpath', '//*[@id="vip_price"]')
[2023-08-30 11:15:14,992] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="vip_price"]')
[2023-08-30 11:15:15,020] base_page.py->send_keys line:41 [INFO] Setting value for element: ('xpath', '//*[@id="vip_price"]')
[2023-08-30 11:15:15,021] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="vip_price"]')
[2023-08-30 11:15:15,057] base_page.py->clear line:46 [INFO] Clearing input for element: ('xpath', '//*[@id="num"]')
[2023-08-30 11:15:15,057] base_page.py->element_wait line:31 [INFO] Waiting for element: ('xpath', '//*[@id="num"]')
[2023-08-30 11:15:15,066] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="num"]')
[2023-08-30 11:15:15,091] base_page.py->send_keys line:41 [INFO] Setting value for element: ('xpath', '//*[@id="num"]')
[2023-08-30 11:15:15,092] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="num"]')
[2023-08-30 11:15:15,129] base_page.py->click line:64 [INFO] Clicking element: ('xpath', '/html/body/form/div[1]/div/div/div[11]/div/div/em')
[2023-08-30 11:15:15,129] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '/html/body/form/div[1]/div/div/div[11]/div/div/em')
[2023-08-30 11:15:18,207] conftest.py->beginToend line:28 [INFO] ----------测试用例执行结束----------

[2023-08-30 11:15:20,290] conftest.py->beginToend line:20 [INFO] ----------测试用例执行开始----------
[2023-08-30 11:15:21,505] test_episodes.py->test_add_file line:52 [INFO] 1111
[2023-08-30 11:15:21,505] base_page.py->get line:15 [INFO] Loading url: http://admintest.xczxwe.com/admin/login.html
[2023-08-30 11:15:23,953] base_page.py->send_keys line:41 [INFO] Setting value for element: ('xpath', '/html/body/form/div[2]/input')
[2023-08-30 11:15:23,954] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '/html/body/form/div[2]/input')
[2023-08-30 11:15:24,038] base_page.py->send_keys line:41 [INFO] Setting value for element: ('xpath', '/html/body/form/div[3]/input')
[2023-08-30 11:15:24,039] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '/html/body/form/div[3]/input')
[2023-08-30 11:15:24,082] base_page.py->click line:64 [INFO] Clicking element: ('xpath', '/html/body/form/div[5]/button')
[2023-08-30 11:15:24,082] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '/html/body/form/div[5]/button')
[2023-08-30 11:15:25,133] base_page.py->click line:64 [INFO] Clicking element: ('xpath', '//*[@id="sideMenu"]/div/ul/li[6]')
[2023-08-30 11:15:25,133] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="sideMenu"]/div/ul/li[6]')
[2023-08-30 11:15:28,942] base_page.py->click line:64 [INFO] Clicking element: ('xpath', '//*[@id="sideMenu"]/div/ul/li[6]/dl/dd[3]/a')
[2023-08-30 11:15:28,942] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="sideMenu"]/div/ul/li[6]/dl/dd[3]/a')
[2023-08-30 11:15:29,006] base_page.py->goto_frame line:75 [INFO] Entering iframe: ('xpath', '//*[@id="364"]')
[2023-08-30 11:15:29,006] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="364"]')
[2023-08-30 11:15:29,086] base_page.py->click line:64 [INFO] Clicking element: ('xpath', '/html/body/div[2]/div/div/div[1]/div[1]/button[1]')
[2023-08-30 11:15:29,086] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '/html/body/div[2]/div/div/div[1]/div[1]/button[1]')
[2023-08-30 11:15:29,865] base_page.py->goto_frame line:75 [INFO] Entering iframe: ('xpath', '//*[@id="layui-layer-iframe2"]')
[2023-08-30 11:15:29,865] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="layui-layer-iframe2"]')
[2023-08-30 11:15:29,967] base_page.py->click line:64 [INFO] Clicking element: ('xpath', '/html/body/form/div[1]/div/div/div[1]/div/div/xm-select')
[2023-08-30 11:15:29,968] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '/html/body/form/div[1]/div/div/div[1]/div/div/xm-select')
[2023-08-30 11:15:30,595] base_page.py->click line:64 [INFO] Clicking element: ('xpath', '/html/body/form/div[1]/div/div/div[1]/div/div/xm-select/div[3]/div/div/div[2]/div[1]/div')
[2023-08-30 11:15:30,595] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '/html/body/form/div[1]/div/div/div[1]/div/div/xm-select/div[3]/div/div/div[2]/div[1]/div')
[2023-08-30 11:15:30,681] base_page.py->send_keys line:41 [INFO] Setting value for element: ('xpath', '//*[@id="name"]')
[2023-08-30 11:15:30,681] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="name"]')
[2023-08-30 11:15:30,753] base_page.py->send_keys line:41 [INFO] Setting value for element: ('xpath', '//*[@id="desc"]')
[2023-08-30 11:15:30,753] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="desc"]')
[2023-08-30 11:15:30,793] base_page.py->clear line:46 [INFO] Clearing input for element: ('xpath', '//*[@id="sort"]')
[2023-08-30 11:15:30,793] base_page.py->element_wait line:31 [INFO] Waiting for element: ('xpath', '//*[@id="sort"]')
[2023-08-30 11:15:30,802] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="sort"]')
[2023-08-30 11:15:30,833] base_page.py->send_keys line:41 [INFO] Setting value for element: ('xpath', '//*[@id="sort"]')
[2023-08-30 11:15:30,834] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="sort"]')
[2023-08-30 11:15:31,882] base_page.py->click line:64 [INFO] Clicking element: ('xpath', '/html/body/form/div[1]/div/div/div[6]/div/div/em')
[2023-08-30 11:15:31,882] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '/html/body/form/div[1]/div/div/div[6]/div/div/em')
[2023-08-30 11:15:31,966] base_page.py->clear line:46 [INFO] Clearing input for element: ('xpath', '//*[@id="price"]')
[2023-08-30 11:15:31,966] base_page.py->element_wait line:31 [INFO] Waiting for element: ('xpath', '//*[@id="price"]')
[2023-08-30 11:15:31,974] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="price"]')
[2023-08-30 11:15:31,999] base_page.py->send_keys line:41 [INFO] Setting value for element: ('xpath', '//*[@id="price"]')
[2023-08-30 11:15:31,999] base_page.py->locate_element line:20 [INFO] Locating element: ('xpath', '//*[@id="price"]')
